date,price,symbol
2018-03-22,10114.75,NIFTY 50
2018-03-23,9998.05,NIFTY 50
2018-03-26,10130.65,NIFTY 50
2018-03-27,10184.15,NIFTY 50
2018-03-28,10113.7,NIFTY 50
2018-04-02,10211.8,NIFTY 50
2018-04-03,10245,NIFTY 50
2018-04-04,10128.4,NIFTY 50
2018-04-05,10325.15,NIFTY 50
2018-04-06,10331.6,NIFTY 50
2018-04-09,10379.35,NIFTY 50
2018-04-10,10402.25,NIFTY 50
2018-04-11,10417.15,NIFTY 50
2018-04-12,10458.65,NIFTY 50
2018-04-13,10480.6,NIFTY 50
2018-04-16,10528.35,NIFTY 50
2018-04-17,10548.7,NIFTY 50
2018-04-18,10526.2,NIFTY 50
2018-04-19,10565.3,NIFTY 50
2018-04-20,10564.05,NIFTY 50
2018-04-23,10584.7,NIFTY 50
2018-04-24,10614.35,NIFTY 50
2018-04-25,10570.55,NIFTY 50
2018-04-26,10617.8,NIFTY 50
2018-04-27,10692.3,NIFTY 50
2018-04-30,10739.35,NIFTY 50
2018-05-02,10718.05,NIFTY 50
2018-05-03,10679.65,NIFTY 50
2018-05-04,10618.25,NIFTY 50
2018-05-07,10715.5,NIFTY 50
2018-05-08,10717.8,NIFTY 50
2018-05-09,10741.7,NIFTY 50
2018-05-10,10716.55,NIFTY 50
2018-05-11,10806.5,NIFTY 50
2018-05-14,10806.6,NIFTY 50
2018-05-15,10801.85,NIFTY 50
2018-05-16,10741.1,NIFTY 50
2018-05-17,10682.7,NIFTY 50
2018-05-18,10596.4,NIFTY 50
2018-05-21,10516.7,NIFTY 50
2018-05-22,10536.7,NIFTY 50
2018-05-23,10430.35,NIFTY 50
2018-05-24,10513.85,NIFTY 50
2018-05-25,10605.15,NIFTY 50
2018-05-28,10688.65,NIFTY 50
2018-05-29,10633.3,NIFTY 50
2018-05-30,10614.35,NIFTY 50
2018-05-31,10736.15,NIFTY 50
2018-06-01,10696.2,NIFTY 50
2018-06-04,10628.5,NIFTY 50
2018-06-05,10593.15,NIFTY 50
2018-06-06,10684.65,NIFTY 50
2018-06-07,10768.35,NIFTY 50
2018-06-08,10767.65,NIFTY 50
2018-06-11,10786.95,NIFTY 50
2018-06-12,10842.85,NIFTY 50
2018-06-13,10856.7,NIFTY 50
2018-06-14,10808.05,NIFTY 50
2018-06-15,10817.7,NIFTY 50
2018-06-18,10799.85,NIFTY 50
2018-06-19,10710.45,NIFTY 50
2018-06-20,10772.05,NIFTY 50
2018-06-21,10741.1,NIFTY 50
2018-06-22,10821.85,NIFTY 50
2018-06-25,10762.45,NIFTY 50
2018-06-26,10769.15,NIFTY 50
2018-06-27,10671.4,NIFTY 50
2018-06-28,10589.1,NIFTY 50
2018-06-29,10714.3,NIFTY 50
2018-07-02,10657.3,NIFTY 50
2018-07-03,10699.9,NIFTY 50
2018-07-04,10769.9,NIFTY 50
2018-07-05,10749.75,NIFTY 50
2018-07-06,10772.65,NIFTY 50
2018-07-09,10852.9,NIFTY 50
2018-07-10,10947.25,NIFTY 50
2018-07-11,10948.3,NIFTY 50
2018-07-12,11023.2,NIFTY 50
2018-07-13,11018.9,NIFTY 50
2018-07-16,10936.85,NIFTY 50
2018-07-17,11008.05,NIFTY 50
2018-07-18,10980.45,NIFTY 50
2018-07-19,10957.1,NIFTY 50
2018-07-20,11010.2,NIFTY 50
2018-07-23,11084.75,NIFTY 50
2018-07-24,11134.3,NIFTY 50
2018-07-25,11132,NIFTY 50
2018-07-26,11167.3,NIFTY 50
2018-07-27,11278.35,NIFTY 50
2018-07-30,11319.55,NIFTY 50
2018-07-31,11356.5,NIFTY 50
2018-08-01,11346.2,NIFTY 50
2018-08-02,11244.7,NIFTY 50
2018-08-03,11360.8,NIFTY 50
2018-08-06,11387.1,NIFTY 50
2018-08-07,11389.45,NIFTY 50
2018-08-08,11450,NIFTY 50
2018-08-09,11470.7,NIFTY 50
2018-08-10,11429.5,NIFTY 50
2018-08-13,11355.75,NIFTY 50
2018-08-14,11435.1,NIFTY 50
2018-08-16,11385.05,NIFTY 50
2018-08-17,11470.75,NIFTY 50
2018-08-20,11551.75,NIFTY 50
2018-08-21,11570.9,NIFTY 50
2018-08-23,11582.75,NIFTY 50
2018-08-24,11557.1,NIFTY 50
2018-08-27,11691.95,NIFTY 50
2018-08-28,11738.5,NIFTY 50
2018-08-29,11691.9,NIFTY 50
2018-08-30,11676.8,NIFTY 50
2018-08-31,11680.5,NIFTY 50
2018-09-03,11582.35,NIFTY 50
2018-09-04,11520.3,NIFTY 50
2018-09-05,11476.95,NIFTY 50
2018-09-06,11536.9,NIFTY 50
2018-09-07,11589.1,NIFTY 50
2018-09-10,11438.1,NIFTY 50
2018-09-11,11287.5,NIFTY 50
2018-09-12,11369.9,NIFTY 50
2018-09-14,11515.2,NIFTY 50
2018-09-17,11377.75,NIFTY 50
2018-09-18,11278.9,NIFTY 50
2018-09-19,11234.35,NIFTY 50
2018-09-21,11143.1,NIFTY 50
2018-09-24,10967.4,NIFTY 50
2018-09-25,11067.45,NIFTY 50
2018-09-26,11053.8,NIFTY 50
2018-09-27,10977.55,NIFTY 50
2018-09-28,10930.45,NIFTY 50
2018-10-01,11008.3,NIFTY 50
2018-10-03,10858.25,NIFTY 50
2018-10-04,10599.25,NIFTY 50
2018-10-05,10316.45,NIFTY 50
2018-10-08,10348.05,NIFTY 50
2018-10-09,10301.05,NIFTY 50
2018-10-10,10460.1,NIFTY 50
2018-10-11,10234.65,NIFTY 50
2018-10-12,10472.5,NIFTY 50
2018-10-15,10512.5,NIFTY 50
2018-10-16,10584.75,NIFTY 50
2018-10-17,10453.05,NIFTY 50
2018-10-19,10303.55,NIFTY 50
2018-10-22,10245.25,NIFTY 50
2018-10-23,10146.8,NIFTY 50
2018-10-24,10224.75,NIFTY 50
2018-10-25,10124.9,NIFTY 50
2018-10-26,10030,NIFTY 50
2018-10-29,10250.85,NIFTY 50
2018-10-30,10198.4,NIFTY 50
2018-10-31,10386.6,NIFTY 50
2018-11-01,10380.45,NIFTY 50
2018-11-02,10553,NIFTY 50
2018-11-05,10524,NIFTY 50
2018-11-06,10530,NIFTY 50
2018-11-07,10598.4,NIFTY 50
2018-11-09,10585.2,NIFTY 50
2018-11-12,10482.2,NIFTY 50
2018-11-13,10582.5,NIFTY 50
2018-11-14,10576.3,NIFTY 50
2018-11-15,10616.7,NIFTY 50
2018-11-16,10682.2,NIFTY 50
2018-11-19,10763.4,NIFTY 50
2018-11-20,10656.2,NIFTY 50
2018-11-21,10600.05,NIFTY 50
2018-11-22,10526.75,NIFTY 50
2018-11-26,10628.6,NIFTY 50
2018-11-27,10685.6,NIFTY 50
2018-11-28,10728.85,NIFTY 50
2018-11-29,10858.7,NIFTY 50
2018-11-30,10876.75,NIFTY 50
2018-12-03,10883.75,NIFTY 50
2018-12-04,10869.5,NIFTY 50
2018-12-05,10782.9,NIFTY 50
2018-12-06,10601.15,NIFTY 50
2018-12-07,10693.7,NIFTY 50
2018-12-10,10488.45,NIFTY 50
2018-12-11,10549.15,NIFTY 50
2018-12-12,10737.6,NIFTY 50
2018-12-13,10791.55,NIFTY 50
2018-12-14,10805.45,NIFTY 50
2018-12-17,10888.35,NIFTY 50
2018-12-18,10908.7,NIFTY 50
2018-12-19,10967.3,NIFTY 50
2018-12-20,10951.7,NIFTY 50
2018-12-21,10754,NIFTY 50
2018-12-24,10663.5,NIFTY 50
2018-12-26,10729.85,NIFTY 50
2018-12-27,10779.8,NIFTY 50
2018-12-28,10859.9,NIFTY 50
2018-12-31,10862.55,NIFTY 50
2019-01-01,10910.1,NIFTY 50
2019-01-02,10792.5,NIFTY 50
2019-01-03,10672.25,NIFTY 50
2019-01-04,10727.35,NIFTY 50
2019-01-07,10771.8,NIFTY 50
2019-01-08,10802.15,NIFTY 50
2019-01-09,10855.15,NIFTY 50
2019-01-10,10821.6,NIFTY 50
2019-01-11,10794.95,NIFTY 50
2019-01-14,10737.6,NIFTY 50
2019-01-15,10886.8,NIFTY 50
2019-01-16,10890.3,NIFTY 50
2019-01-17,10905.2,NIFTY 50
2019-01-18,10906.95,NIFTY 50
2019-01-21,10961.85,NIFTY 50
2019-01-22,10922.75,NIFTY 50
2019-01-23,10831.5,NIFTY 50
2019-01-24,10849.8,NIFTY 50
2019-01-25,10780.55,NIFTY 50
2019-01-28,10661.55,NIFTY 50
2019-01-29,10652.2,NIFTY 50
2019-01-30,10651.8,NIFTY 50
2019-01-31,10830.95,NIFTY 50
2019-02-01,10893.65,NIFTY 50
2019-02-04,10912.25,NIFTY 50
2019-02-05,10934.35,NIFTY 50
2019-02-06,11062.45,NIFTY 50
2019-02-07,11069.4,NIFTY 50
2019-02-08,10943.6,NIFTY 50
2019-02-11,10888.8,NIFTY 50
2019-02-12,10831.4,NIFTY 50
2019-02-13,10793.65,NIFTY 50
2019-02-14,10746.05,NIFTY 50
2019-02-15,10724.4,NIFTY 50
2019-02-18,10640.95,NIFTY 50
2019-02-19,10604.35,NIFTY 50
2019-02-20,10735.45,NIFTY 50
2019-02-21,10789.85,NIFTY 50
2019-02-22,10791.65,NIFTY 50
2019-02-25,10880.1,NIFTY 50
2019-02-26,10835.3,NIFTY 50
2019-02-27,10806.65,NIFTY 50
2019-02-28,10792.5,NIFTY 50
2019-03-01,10863.5,NIFTY 50
2019-03-05,10987.45,NIFTY 50
2019-03-06,11053,NIFTY 50
2019-03-07,11058.2,NIFTY 50
2019-03-08,11035.4,NIFTY 50
2019-03-11,11168.05,NIFTY 50
2019-03-12,11301.2,NIFTY 50
2019-03-13,11341.7,NIFTY 50
2019-03-14,11343.25,NIFTY 50
2019-03-15,11426.85,NIFTY 50
2019-03-18,11462.2,NIFTY 50
2019-03-19,11532.4,NIFTY 50
2019-03-20,11521.05,NIFTY 50
2019-03-22,11456.9,NIFTY 50
2019-03-25,11354.25,NIFTY 50
2019-03-26,11483.25,NIFTY 50
2019-03-27,11445.05,NIFTY 50
2019-03-28,11570,NIFTY 50
2019-03-29,11623.9,NIFTY 50
2019-04-01,11669.15,NIFTY 50
2019-04-02,11713.2,NIFTY 50
2019-04-03,11643.95,NIFTY 50
2019-04-04,11598,NIFTY 50
2019-04-05,11665.95,NIFTY 50
2019-04-08,11604.5,NIFTY 50
2019-04-09,11671.95,NIFTY 50
2019-04-10,11584.3,NIFTY 50
2019-04-11,11596.7,NIFTY 50
